Date/Time,Year,Month,Day,Time,Temp (°C),Weather
2016-06-22 22:00,2016,6,22,22:00,14.9,Rain
2016-06-22 23:00,2016,6,22,23:00,13.2,Rain
2016-06-23 00:00,2016,6,23,00:00,13.2,Rain
2016-06-23 01:00,2016,6,23,01:00,13.7,Rain
2016-06-23 02:00,2016,6,23,02:00,13.6,Rain
2016-06-23 03:00,2016,6,23,03:00,13.0,"Rain,Drizzle,Fog"
2016-06-23 04:00,2016,6,23,04:00,12.5,"Rain,Drizzle,Fog"
2016-06-23 06:00,2016,6,23,06:00,14.0,Rain
2016-06-23 07:00,2016,6,23,07:00,13.7,Rain
2016-06-23 08:00,2016,6,23,08:00,13.6,"Rain,Fog"
2016-06-23 09:00,2016,6,23,09:00,13.5,"Rain,Fog"
2016-06-23 10:00,2016,6,23,10:00,14.7,Cloudy
2016-06-23 13:00,2016,6,23,13:00,16.7,Cloudy
2016-06-23 16:00,2016,6,23,16:00,19.5,Mainly Clear
2016-06-23 19:00,2016,6,23,19:00,16.8,Mostly Cloudy
2016-06-23 22:00,2016,6,23,22:00,14.5,Cloudy
2016-06-24 01:00,2016,6,24,01:00,12.9,Mostly Cloudy
2016-06-24 04:00,2016,6,24,04:00,12.4,Cloudy
2016-06-24 07:00,2016,6,24,07:00,13.3,Cloudy
2016-06-24 10:00,2016,6,24,10:00,15.0,Cloudy
2016-06-24 13:00,2016,6,24,13:00,17.5,Mostly Cloudy
2016-06-24 16:00,2016,6,24,16:00,17.9,Cloudy
2016-06-24 19:00,2016,6,24,19:00,16.9,Cloudy
2016-06-24 22:00,2016,6,24,22:00,15.8,Cloudy
2016-06-25 01:00,2016,6,25,01:00,14.4,Cloudy
2016-06-25 02:00,2016,6,25,02:00,13.7,Rain
2016-06-25 04:00,2016,6,25,04:00,13.6,Cloudy
2016-06-25 07:00,2016,6,25,07:00,14.0,Cloudy
2016-06-25 10:00,2016,6,25,10:00,15.3,Cloudy
2016-06-25 13:00,2016,6,25,13:00,17.8,Mainly Clear
2016-06-25 16:00,2016,6,25,16:00,18.7,Mostly Cloudy
2016-06-25 19:00,2016,6,25,19:00,17.4,Clear
2016-06-25 22:00,2016,6,25,22:00,16.1,Clear
2016-06-26 01:00,2016,6,26,01:00,14.2,Clear
2016-06-26 04:00,2016,6,26,04:00,13.6,Clear
2016-06-26 07:00,2016,6,26,07:00,17.2,Clear
